10510	1998-12-31	383200
10510	1999-12-31	413600
10510	2000-12-31	469900
10510	2001-12-31	479700
10510	2002-12-31	580300
10510	2003-12-31	677900
10510	2004-12-31	750800
10510	2005-12-31	803200
10510	2006-12-31	766000
10510	2007-12-31	798400
10510	2008-12-31	710600
10510	2009-12-31	650600
10510	2010-12-31	639500
10510	2011-12-31	604600
10510	2012-12-31	615400
10510	2013-12-31	642400
10512	1997-12-31	140400
10512	1998-12-31	154300
10512	1999-12-31	173300
10512	2000-12-31	190900
10512	2001-12-31	227700
10512	2002-12-31	275300
10512	2003-12-31	296300
10512	2004-12-31	354400
10512	2005-12-31	356700
10512	2006-12-31	355500
10512	2007-12-31	330900
10512	2008-12-31	299700
10512	2009-12-31	290500
10512	2010-12-31	278400
10512	2011-12-31	265500
10512	2012-12-31	240500
10512	2013-12-31	230400
10514	1997-12-31	411000
10514	1998-12-31	466300
10514	1999-12-31	523200
10514	2000-12-31	610800
10514	2001-12-31	663100
10514	2002-12-31	794600
10514	2003-12-31	867600
10514	2004-12-31	1011400
10514	2005-12-31	1097500
10514	2006-12-31	1074000
10514	2007-12-31	1125400
10514	2008-12-31	1023100
10514	2009-12-31	865200
10514	2010-12-31	870800
10514	2011-12-31	813400
10514	2012-12-31	835300
10514	2013-12-31	832000
10516	1997-12-31	183200
10516	1998-12-31	204900
10516	1999-12-31	238400
10516	2000-12-31	262100
10516	2001-12-31	303800
10516	2002-12-31	357400
10516	2003-12-31	378800
10516	2004-12-31	474900
10516	2005-12-31	498400
10516	2006-12-31	488500
10516	2007-12-31	455400
10516	2008-12-31	420500
10516	2009-12-31	437800
10516	2010-12-31	410400
10516	2011-12-31	400700
10516	2012-12-31	394400
10516	2013-12-31	393500
10518	1997-12-31	295700
10518	1998-12-31	317500
10518	1999-12-31	332900
10518	2000-12-31	370000
10518	2001-12-31	438100
10518	2002-12-31	498600
10518	2003-12-31	560900
10518	2004-12-31	627600
10518	2005-12-31	636300
10518	2006-12-31	648600
10518	2007-12-31	636200
10518	2008-12-31	631800
10518	2009-12-31	536600
10518	2010-12-31	570700
10518	2011-12-31	480800
10518	2012-12-31	492300
10518	2013-12-31	554100
10520	1997-12-31	270900
10520	1998-12-31	248600
10520	1999-12-31	281800
10520	2000-12-31	319300
10520	2001-12-31	342000
10520	2002-12-31	397900
10520	2003-12-31	446800
